"Name","Price","Network Standard","Wifi","CPU","Antenna","RAM","FLASH"
"MR6350","580","Wifi 5","AC1300","4","2","256","256"
"MR7350","599","Wifi 6","AX1800","4","2","512","256"
"MR9600","2078","Wifi 6","AX6000","4","4","512","512"
"E5600","390","Wifi 5","AC1200","2","4","128","128"
"MR9000X","1225","Wifi 5","AC3000","2","4","512","256"
"EA6350","529","Wifi 5","AC1200","2","2","128","128"
"EA8100","599","Wifi 5","AC2600","2","4","256","128"
"EA7500","629","Wifi 5","AC1900","2","3","256","128"
"E7350","529","Wifi 6","AX1800","2","2","256","128"
"EA9350","2599","Wifi 6","AX4500","4","4","512","512"
"E8450","599","Wifi 6","AX3200","2","4","512","128"
"E9450","699","Wifi 6","AX5400","3","4","512","256"
"FGW3000","2599","Wifi 6","AX3000","4","4","8192","256"
"MX5503","2599","Wifi 6","AX5400","2","5","512","256"
"MX5502","1819","Wifi 6","AX5400","2","5","512","256"
"MX5501","1009","Wifi 6","AX5400","2","5","512","256"
"MX12600","3899","Wifi 6","AX4200","4","7","512","512"
"MX8400","2599","Wifi 6","AX4200","4","7","512","512"
"MX4200","1299","Wifi 6","AX4200","4","7","512","512"
"MX5300","2499","Wifi 6","AX5300","4","6","1024","512"
"MX10600","4499","Wifi 6","AX5300","4","6","1024","512"
"WHW0102","949","Wifi 5","AC1300","4","3","256","256"
"WHW0103","1297","Wifi 5","AC2600","4","3","256","256"
"WHW0303","2299","Wifi 5","AC6600","4","6","4096","512"
"WHW0302","1699","Wifi 5","AC4400","4","6","4096","512"
"WHW0301","1150","Wifi 5","AC2200","4","6","4096","512"
"MX2003","2069","Wifi 6","AX3000","2","3","512","256"
"MX2002","1529","Wifi 6","AX3000","2","3","512","256"
"MX2001","819","Wifi 6","AX3000","2","3","512","256"
