,Name,Price
0,"['Archer', 'AX10', 'AX1500雙頻']",$398.00
1,"['Archer', 'AX11000', '三頻']","$3,639.00"
2,"['Archer', 'AX12', 'AX1500雙頻WiFi']",$349.00
3,"['Archer', 'AX20', 'AX1800雙頻']",$498.00
4,"['Archer', 'AX23', 'AX1800雙頻WiFi6']",$449.00
5,"['Archer', 'AX55', 'AX3000雙頻']",$599.00
6,"['Archer', 'AX55', 'Pro']",$699.00
7,"['Archer', 'AX6000', '2.5G']","$2,098.00"
8,"['Archer', 'AX72', 'AX5400']",$749.00
9,"['Archer', 'AX73', 'AX5400雙頻']",$799.00
10,"['Archer', 'AX75', 'AX5400三頻Gigabit']",$999.00
11,"['Archer', 'AX80', 'AX6000']","$1,499.00"
12,"['Archer', 'AX95', 'AX7800三頻8條天線WiFi']","$1,799.00"
13,"['Archer', 'AXE75', 'AXE5400三頻']","$1,299.00"
14,"['Archer', 'BE800', 'BE19000三頻WiFi']","$4,999.00"
15,"['Archer', 'C6', 'AC1200雙頻WiFi路由器']",$329.00
16,"['Archer', 'C80', 'AC1900雙頻WiFi路由器']",$439.00
17,"['Archer', 'GX90', 'AX6600']","$1,998.00"
18,"['Archer', 'T2E', 'AC600']",$169.00
19,"['Archer', 'T2U', 'AC600雙頻WiFi']",$149.00
20,"['Archer', 'T2U', 'Nano']",$139.00
21,"['Archer', 'T2U', 'Plus']",$189.00
22,"['Archer', 'T2UB', 'Nano']",$159.00
23,"['Archer', 'T3U', 'AC1300']",$189.00
24,"['Archer', 'T3U', 'Nano']",$179.00
25,"['Archer', 'T3U', 'Plus']",$229.00
26,"['Archer', 'T4E', 'AC1200雙頻WiFi接收器-PCIe網卡']",$259.00
27,"['Archer', 'T4U', 'AC1300雙頻WiFi']",$229.00
28,"['Archer', 'T4U', 'Plus']",$279.00
29,"['Archer', 'T5E', 'AC1200雙頻']",$299.00
30,"['Archer', 'T6E', 'AC1300雙頻WiFi接收器']",$309.00
31,"['Archer', 'T9UH', 'AC1900雙頻WiFi']",$349.00
32,"['Archer', 'TX20U', 'Plus']",$399.00
33,"['Archer', 'TX20UH', 'AX1800']",$399.00
34,"['Archer', 'TX3000E', 'AX3000']",$469.00
35,"['Archer', 'TX50E', 'AX3000雙頻']",$399.00
36,"['Archer', 'TXE75E', 'WiFi6E']",$799.00
37,"['Deco', 'BE65', 'BE11000']"," $2,999.00"
38,"['Deco', 'BE85', 'BE22000']"," $5,999.00"
39,"['Deco', 'M4', 'AC1200雙頻Mesh']", $349.00
40,"['Deco', 'M5', 'AC1300雙頻']", $599.00
41,"['Deco', 'X20', 'AX1800雙頻WiFi6']", $748.00
42,"['Deco', 'X20-4G', 'AX1800']","$1,388.00"
43,"['Deco', 'X50', 'AX3000']", $898.00
44,"['Deco', 'X50-4G', 'AX3000雙頻4G']","$1,688.00"
45,"['Deco', 'X50-5G', 'AX3000']","$2,499.00"
46,"['Deco', 'X50-PoE', 'AX3000雙頻Mesh']", $999.00
47,"['Deco', 'X60', 'AX3000雙頻']", $898.00
48,"['Deco', 'X60', 'AX5400雙頻']", $898.00
49,"['Deco', 'X68', 'AX3600']"," $1,178.00"
50,"['Deco', 'X75', 'AX5400三頻WiFi6']","$2,198.00"
51,"['Deco', 'X80-5G', 'AX6000']","$3,998.00"
52,"['Deco', 'X95', 'AX7800']"," $1,999.00"
53,"['Deco', 'XE200', 'AXE11000三頻Mesh']"," $4,599.00"
54,"['Deco', 'XE75', 'AXE5400']"," $1,398.00"
55,"['Deco', 'XE75', 'Pro']"," $1,799.00"
56,"['RE200', 'AC750', 'WiFi信號延伸器']",$239.00
57,"['RE205', 'AC750', '雙頻']",$269.00
58,"['RE305', 'AC1200雙頻WiFi信號延伸器', '銷售價格$319.00']",$319.00
59,"['RE330', 'AC1200雙頻WiFi信號延伸器', '銷售價格$299.00']",$299.00
60,"['RE450', 'AC1750雙頻WiFi信號延伸器', '銷售價格$449.00']",$449.00
61,"['RE500X', 'AX1500', '雙頻']",$528.00
62,"['RE505X', 'AX1500', '雙頻']",$579.00
63,"['RE600X', 'AX1800', 'WiFi6']",$599.00
64,"['RE605X', 'AX1800', '雙頻']",$679.00
65,"['RE705X', 'AX3000', '雙頻WiFi6']",$899.00
66,"['TL-WA855RE', '300Mbps', 'WiFi信號延伸器']",$179.00
67,"['TL-WR840N', '300Mbps', 'WiFi路由器']",$119.00
68,"['TL-WR841N', '300Mbps', 'WiFi路由器']",$129.00
69,"['TL-WR940N', '450Mbps', 'WiFi路由器']",$199.00
