"","Name","Price","Wifi","CPU","Bandwidth","Network Standard","Antenna"
"0","Archer AX10","398.00 ","AX1500","3","dual-band","wifi 6","4"
"1","Archer AX11000","3,639.00 ","AX11000","4","tri-band","wifi 6","8"
"2","Archer AX12","349.00 ","AX1500","2","dual-band","wifi 6","4"
"3","Archer AX20","498.00 ","AX1800","2","dual-band","wifi 6","4"
"4","Archer AX23","449.00 ","AX1800","2","dual-band","wifi 6","4"
"5","Archer AX55","599.00 ","AX3000","2","dual-band","wifi 6","4"
"6","Archer AX55 Pro","699.00 ","AX3000","2","dual-band","wifi 6","4"
"7","Archer AX6000","2,098.00 ","AX6000","4","dual-band","wifi 6","8"
"8","Archer AX72","749.00 ","AX5400","2","dual-band","wifi 6","6"
"9","Archer AX73","799.00 ","AX5400","3","dual-band","wifi 6","6"
"10","Archer AX75","999.00 ","AX5400","4","tri-band","wifi 6","6"
"11","Archer AX80","1,499.00 ","AX6000","4","dual-band","wifi 6","4"
"12","Archer AX95","1,799.00 ","AX7800","4","tri-band","wifi 6","8"
"13","Archer AXE75","1,299.00 ","AXE5400","4","tri-band","wifi 6e","6"
"14","Archer BE800","4,999.00 ","BE19000","4","tri-band","wifi 7","8"
"15","Archer C6","329.00 ","AC1200","2","dual-band","wifi 5","4"
"16","Archer C80","439.00 ","AC1900","2","dual-band","wifi 5","4"
"17","Archer GX90","1,998.00 ","AX6600","4","tri-band","wifi 6","8"
"18","Deco BE65","2,999.00 ","BE11000","4","tri-band","wifi 7","4"
"19","Deco M4","349.00 ","AC1200","2","dual-band","wifi 5","2"
"20","Deco M5","599.00 ","AC1300","4","dual-band","wifi 5","4"
"21","Deco BE85","5,999.00 ","BE22000","4","tri-band","wifi 7","8"
"22","Deco X20","748.00 ","AX1800","4","dual-band","wifi 6","2"
"23","Deco X20-4G","1,388.00 ","AX1800","4","dual-band","wifi 6","2"
"24","Deco X50","898.00 ","AX3000","2","dual-band","wifi 6","2"
"25","Deco X50-4G","1,688.00 ","AX3000","2","dual-band","wifi 6","2"
"26","Deco X50-5G","2,499.00 ","AX3000","2","dual-band","wifi 6","2"
"27","Deco X50-PoE","999.00 ","AX3000","2","dual-band","wifi 6","4"
"28","Deco X60","898.00 ","AX3000","4","dual-band","wifi 6","4"
"29","Deco X60","898.00 ","AX5400","4","dual-band","wifi 6","4"
"30","Deco X68","1,178.00 ","AX3600","4","tri-band","wifi 6","5"
"31","Deco X75-2p","2,198.00 ","AX5400","4","tri-band","wifi 6","4"
"32","Deco X80-5G","3,998.00 ","AX6000","4","dual-band","wifi 6","8"
"33","Deco X95","1,999.00 ","AX7800","4","tri-band","wifi 6","6"
"34","Deco XE200","4,599.00 ","AXE11000","4","tri-band","wifi 7","16"
"35","Deco XE75","1,398.00 ","AXE5400","4","tri-band","wifi 6e","4"
"36","Deco XE75 Pro","1,799.00 ","AXE5400","4","tri-band","wifi 6e","4"
"37","RE500X","528.00 ","AX1500","","","",""
"36","RE505X ","579.00 ","AX1500","","","",""
"37","RE600X ","599.00 ","AX1800","","","",""
"38","RE605X ","679.00 ","AX1800","","","",""
"39","RE705X ","899.00 ","AX3000","","","",""
